"Label","site_id","Ecosystem","GAP_No","WeatherFolder","X_WGS84","Y_WGS84","ELEV_m","ASPECT","SLOPE","Include_YN"
"MS1_sbs_1032_5454",1032,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1032_5454_data_42.1875_-111.9375",-111.984274037,42.2496801703,1447,-1,0,1
"MS1_sbs_1033_5454",1033,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1033_5454_data_42.8125_-105.6875",-105.708630165,42.8730287748,1540,94,6,1
"MS1_sbs_1034_5455",1034,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-107.160788998,42.7554562635,2063,23,4,0
"MS1_sbs_1035_5454",1035,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-106.700152982,42.7906861369,1734,343,5,0
"MS1_sbs_1036_5257",1036,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1036_5257_data_42.5625_-109.5625",-109.531355813,42.5247005137,2196,169,0,1
"MS1_sbs_1037_5257",1037,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1037_5257_data_42.4375_-109.8125",-109.793795899,42.496675169,2181,179,2,1
"MS1_sbs_1038_5455",1038,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_1038_5455_data_41.9375_-114.5625",-114.514474245,41.8850032454,2004,338,14,1
"MS1_sbs_1039_5257",1039,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-116.780175858,41.5248351979,1657,317,0,0
"MS1_sbs_1040_5257",1040,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-114.73447333,41.8421637189,1645,95,1,0
"MS1_sbs_1041_5455",1041,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_1041_5455_data_41.6875_-115.4375",-115.459414975,41.7305211333,2267,183,18,1
"MS1_sbs_1042_5257",1042,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-109.59448245,42.4871664766,2202,96,2,0
"MS1_sbs_1043_5455",1043,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-116.035139751,41.63539928,2009,99,21,0
"MS1_sbs_1044_5257",1044,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1044_5257_data_40.9375_-119.6875",-119.742516081,40.9882209606,1483,154,2,1
"MS1_sbs_1045_5257",1045,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1045_5257_data_40.9375_-120.3125",-120.302642935,40.8767065289,1617,-1,0,1
"MS1_sbs_1046_5257",1046,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-117.631790274,41.3643542574,1563,124,6,0
"MS1_sbs_1047_5257",1047,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-109.479085635,42.4813681132,2146,174,3,0
"MS1_sbs_1048_5455",1048,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-115.36339343,41.724119482,2452,317,21,0
"MS1_sbs_1049_5454",1049,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1049_5454_data_42.5625_-108.3125",-108.350961899,42.5913158084,1844,251,20,1
"MS1_sbs_1050_5257",1050,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1050_5257_data_42.0625_-113.1875",-113.209282147,42.0237309625,1624,252,1,1
"MS1_sbs_1051_5455",1051,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-114.657814118,41.8083139768,2310,84,27,0
